Year,Jurisdiction,Earned at least 1 credit in architecture and construction courses? (SCED),Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,No,525.8,4.722,94.0,1.1
2009,National,No,483.46,10.874,97.0,1.0
2000,National,No,526.18,5.948,93.0,1.7
1990,National,No,439.34,5.965,94.0,1.2
2019,National,Yes,479.65,7.846,6.0,1.1
2009,National,Yes,,,3.0,1.0
2000,National,Yes,502.12,26.56,7.0,1.7
1990,National,Yes,390.71,11.254,6.0,1.2
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
