Year,Jurisdiction,"Earned at least 1 credit in agriculture, food, and natural resources courses? (SCED)",Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,No,522.34,5.527,93.0,1.5
2009,National,No,506.31,5.273,95.0,0.9
2000,National,No,534.96,6.584,95.0,1.5
1990,National,No,485.46,7.633,99.0,0.3
2019,National,Yes,494.8,7.81,7.0,1.5
2009,National,Yes,483.92,8.676,5.0,0.9
2000,National,Yes,485.69,13.29,5.0,1.5
1990,National,Yes,,,1.0,0.3
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
