Year,Jurisdiction,"Earned at least 3 credits in agriculture, food, and natural resources courses? (SCED)",Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,No,20.65,0.302,96.0,1.1
2009,National,No,21.41,0.172,96.0,0.7
2000,National,No,21.72,0.209,97.0,0.8
1990,National,No,20.02,0.214,97.0,0.7
2019,National,Yes,18.76,0.526,4.0,1.1
2009,National,Yes,20.05,0.249,4.0,0.7
2000,National,Yes,19.81,0.908,3.0,0.8
1990,National,Yes,,,3.0,0.7
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
