Year,Jurisdiction,"Earned at least 3 credits in transportation, distribution, and logistics courses? (SCED)",Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,No,20.63,0.292,99.0,0.3
2009,National,No,21.4,0.169,99.0,0.2
2000,National,No,21.7,0.204,99.0,0.3
1990,National,No,19.91,0.22,100.0,0.2
2019,National,Yes,,,1.0,0.3
2009,National,Yes,17.72,0.531,1.0,0.2
2000,National,Yes,,,1.0,0.3
1990,National,Yes,,,,0.2
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
